,image,emotion
492,Wan_Yanhai_0001.jpg,0
1945,HrithikRoshan_44.jpg,4
98,Hannah_Stockbauer_0002.jpg,0
1855,Alexander_Losyukov_0003.jpg,4
1138,Bruce_Springsteen_0003.jpg,2
1797,Wilfredo_Moreno_0001.jpg,3
1896,Brian_Scalabrine_0001.jpg,3
1598,Doc_Rivers_0001.jpg,3
695,Dan_Prinster_0001.jpg,1
2,Chang_Dae-whan_0002.jpg,1
1413,Dileep_85.jpg,3
66,George_W_Bush_0368.jpg,1
1424,Mike_Montgomery_0002.jpg,2
1395,Jennifer_Capriati_0037.jpg,2
553,Michael_Donovan_0001.jpg,1
289,Peter_Albertsen_0001.jpg,1
1129,Anna_Chicherova_0001.jpg,2
1781,Muffet_McGraw_0001.jpg,2
2066,Erika_Harold_0002.jpg,6
1592,George_W_Bush_0161.jpg,2
1481,Sebastian_Saja_0003.jpg,2
1285,Elton_John_0002.jpg,2
1774,Allison_Janney_0001.jpg,2
951,James_Meredeth_0001.jpg,1
195,Ilan_Goldfajn_0001.jpg,1
7,Donald_Rumsfeld_0024.jpg,1
67,Helmut_Panke_0001.jpg,1
578,Ricardo_Sanchez_0001.jpg,0
796,Tubby_Smith_0003.jpg,0
331,Hans_Blix_0004.jpg,1
1408,Sergei_Yushenkov_0001.jpg,2
1578,Jayamadhuri_161.jpg,5
497,George_Robertson_0005.jpg,1
1942,SharmilaTagore_45.jpg,3
1712,Marat_Safin_0003.jpg,3
156,Jose_Canseco_0003.jpg,1
176,Colin_Powell_0175.jpg,1
1904,Atal_Bihari_Vajpayee_0021.jpg,2
715,Peter_Hillary_0001.jpg,0
1892,Gerald_Fitch_0001.jpg,2
1165,Avinash_15.jpg,4
69,S_Jayakumar_0001.jpg,1
96,Prince_Harry_0003.jpg,0
1559,Lou_Piniella_0003.jpg,2
1250,Dileep_24.jpg,4
1080,Paradorn_Srichaphan_0004.jpg,0
468,Francisco_Garcia_0001.jpg,2
1516,Begum_Khaleda_Zia_0002.jpg,2
588,Dileep_90.jpg,1
353,Laura_Bush_0002.jpg,1
